abbreviation,expanded_form,category
BLUE,Blue,ammunition
BM,Bench Mark,general
BM,Brigade Major,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
BMH,Bridge Marshalling Harbour,general
bn,Battalion,general
BOD,Base Ordnance Depot,general
BOF,Base of Fire,general
BOLP,Boat Off Loading Point,general
BOM,Bomb,ammunition
bomrep,Bombing Report,general
BOP,Border Out Post,general
BP,Battle Position,general
BP,Bearing Picket,general
BP,Boundary Pillar,general
BP BA,Bearing Picket,general
BP BA,Below Average,general
BP BA,Boundry Pillar,general
BPT,Battle Physical Training,general
BQMH,"Battalion Quartermaster Havildar, Battery Quartermaster Havildar",APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
br,Branch,general
br,Bridge,general
br,Bridged,general
br,Bridging,general
br H,Bridgehead,general
BRAS,Brassard,ammunition
Brig,Brigadier,RANKS
BRO,Battalion Routine Orders,general
BROWN,Browning,ammunition
BS,Baktar Shikan,general
BSD,Base Supply Depot,general
BSWS,Baktar Shikan Weapon System,general
BT,Boat Tail,ammunition
BT,Bomb Thrower,ammunition
bty,Battery,general
Bty CP,Battery Command Post,general
BUA,Built Up Area,general
BURST,Bursting,ammunition
BW,Biological Warfare,general
C,"Cavalry, as a unit designation",general
C,e.g. 11 C,general
C Arty,Commander Artillery,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
C attk,Counter-attack,general
C of I,Court of Inquiry,general
C pen,Counter penetration,general
C tps,Corps troops,general
C tps,Covering Troops,general
C&IT Branch,Communication & Information Technology Branch,STAFF AND APPTS
C&R,Control and Reporting (as applied to air defence),general
C&S,Cordon and Search,general
C&SC,Command and Staff College,general
C/L,Casual Leave,general
c/o,Care of,general
C4I,"Command, Control, Communication, Computers and Intelligence",general
C4I2SR,"Command, Control, Communication, Computers, Intelligence, Information, Surveillance and Reconnaissance",general
CA,Civil Affairs,general
CA,Current Affairs,general
CAA,Corps Administrative Area,general
CAE,College of Army Education,general
CAF,Civil Armed Forces,general
cal,Calibrate,general
cal,Calibration,general
cal,Calibre,general
CAL,Calibre,ammunition
CAL,MM/ 20MM Sub Caliber,TABLE IX – ROCKETS AND GUIDED MISSILES
calc,Calculate,general
calc,Calculated,general
calc,Calculation,general
cam,Camouflage,general
cam,Camouflaged,general
CAND SMK,Candle Smoke,ammunition
Cantt,Cantonment,general
CAO,Chief Administrative Officer,STAFF AND APPTS
cap,Capability,general
CAP,Combat Air Patrol,general
CAP,Company Aid Post,general
CAP BLAST SPL J1,Cap Blasting Special Non Electric J1,TABLE VI – DEMOLITION EXPLOSIVES AND
CAP BLAST SPL J2,Cap Blasting Special Electric J2,TABLE VI – DEMOLITION EXPLOSIVES AND
Capt,Captain,RANKS
CARB,Carbimite,ammunition
Carr,Carrier,general
CART,Cartridge,ammunition
CART FUEL FLAME,Cartridges for fuel of flame thrower Firing Device M1,TABLE VI – DEMOLITION EXPLOSIVES AND
CART GREEN MK 2,Cartridges Green MK 2,TABLE V – PYROTECHNICS
CART ILL IN,Cartridges Illuminating 1-in,TABLE V – PYROTECHNICS
CART ILL MK3,Cartridges Illuminating MK 3,TABLE V – PYROTECHNICS
CART RED MK 1,Cartridges Red MK 1,TABLE V – PYROTECHNICS
CART SIG RED 1 IN,Cartridges Signal 1-in Red,TABLE V – PYROTECHNICS
CARTS 12 BORE 83,Carts 4/4.5 Grams (12 Bore) for 83,TABLE IX – ROCKETS AND GUIDED MISSILES
CARTS 20 MM SUB,Carts Cal 20 MM for Prac Projectile,TABLE IX – ROCKETS AND GUIDED MISSILES
CARTSIGGREEN1 IN,Cartridges Signal 1-in Green,TABLE V – PYROTECHNICS
cas,Casualties,general
cas,Casualty,general
CAS,Chief of Air Staff,STAFF AND APPTS
CAS,Close Air Support,general
CAS Sectt,Chief of Air Staff Secretariat,STAFF AND APPTS
CASE,Case Shot,ammunition
cat,Categorisation,general
cat,categorised,general
cat,category,general
CAT,Combined Arms Team,general
CB,Counter-Bombardment,general
CBG,Composite Battalion Group,general
cbt,Combat,general
Cbt gp,Combat Group,general
CC,Central Command,general
CC Arty,Commander Corps Artillery,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
